athlete_name,High Risk,Low Risk,Moderate Risk,Total Throws,Avg Protection Ratio
AlexBritton,41.30434782608695,41.30434782608695,17.391304347826086,46,0.008062799293368774
CameronHanes,50.0,33.33333333333333,16.666666666666664,6,0.012479983661663877
CarterWallace,25.0,50.0,25.0,8,0.009455210997679035
ConnorLangrell,57.14285714285714,42.857142857142854,0.0,7,0.020698041273156106
DarielFregio,0.0,90.0,10.0,10,0.018254051559169735
JayceBlair,0.0,42.857142857142854,57.14285714285714,7,0.02822080136893421
MateoHamm,10.0,30.0,60.0,10,0.005764462189966249
RyanHarvey,33.33333333333333,41.66666666666667,25.0,12,0.018013032424197047
ZanRose,28.57142857142857,64.28571428571429,7.142857142857142,14,0.011134251409545753
